,n_estimators,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,50,11,71.60970646742075,46.5,18.0,28.8,0.0,0.0
1,100,18,71.93929061902168,66.39999999999999,27.0,39.99999999999999,0.0,0.0
2,150,29,71.7453324074392,109.89999999999998,45.0,65.49999999999999,0.0,0.0
3,200,40,72.77329588383006,151.8,60.0,92.69999999999999,0.0,0.0
4,250,46,71.9780785000891,165.70000000000002,69.0,97.69999999999997,0.0,0.0
5,300,56,71.97819603912262,206.59999999999994,84.0,123.60000000000002,0.0,0.0
6,350,63,71.98773550708454,222.99999999999997,96.0,129.1,0.0,0.0
7,400,73,71.98774491020723,244.79999999999993,108.0,140.1,0.0,0.0
8,450,80,71.76474045265692,282.9,120.0,166.10000000000002,0.0,0.0
9,500,94,71.93931882838973,344.4999999999999,141.0,205.30000000000007,0.0,0.0
